Country,Type,Gas,year,Emissions (kt CO eq),Difference in Emissions,% Difference in Emissions,Absolute change since 1990,Percentage change since 1990,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,51019,51019433,0.00%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,36383,-14636327,-28.70%,-14636327,-28.70%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,41391,5008035,13.80%,-9628292,-18.90%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,42427,1035534,2.50%,-8592757,-16.80%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,54463,12036301,28.40%,3443544,6.70%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,51861,-2602089,-4.80%,841455,1.60%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,51751,-110117,-0.20%,731338,1.40%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,55194,3443095,6.70%,4174433,8.20%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,53956,-1237935,-2.20%,2936497,5.80%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,53284,-672171,-1.20%,2264326,4.40%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,52099,-1184961,-2.20%,1079365,2.10%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,56609,4509783,8.70%,5589148,11.00%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,58160,1550955,2.70%,7140103,14.00%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,65349,7189653,12.40%,14329756,28.10%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,59923,-5425908,-8.30%,8903847,17.50%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,47791,-12132494,-20.20%,-3228647,-6.30%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,55586,7795656,16.30%,4567010,9.00%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,63451,7864744,14.10%,12431753,24.40%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,52670,-10780804,-17.00%,1650949,3.20%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,36092,-16577964,-31.50%,-14927014,-29.30%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,55417,19324147,53.50%,4397133,8.60%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,48687,-6729672,-12.10%,-2332540,-4.60%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,41089,-7598071,-15.60%,-9930610,-19.50%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,48424,7335568,17.90%,-2595042,-5.10%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,43126,-5298218,-10.90%,-7893260,-15.50%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,44734,1607793,3.70%,-6285467,-12.30%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,51193,6459375,14.40%,173908,0.30%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,51188,-4885,0.00%,169023,0.30%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,61684,10495791,20.50%,10664814,20.90%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,53060,-8624302,-14.00%,2040512,4.00%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,44163,-8896739,-16.80%,-6856227,-13.40%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,52793,8629770,19.50%,1773543,3.50%,,
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,52852,59038,0.10%,1832581,3.60%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1990,10321,-42530815,-80.50%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1991,10268,-53104,-0.50%,-53104,-0.50%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1992,10199,-68852,-0.70%,-121956,-1.20%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1993,10218,18687,0.20%,-103269,-1.00%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1994,10168,-50427,-0.50%,-153697,-1.50%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1995,9919,-248553,-2.40%,-402250,-3.90%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1996,9840,-78572,-0.80%,-480822,-4.70%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1997,9713,-127426,-1.30%,-608248,-5.90%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1998,9404,-309077,-3.20%,-917325,-8.90%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),1999,9161,-243059,-2.60%,-1160384,-11.20%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2000,8821,-339675,-3.70%,-1500059,-14.50%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2001,8628,-193234,-2.20%,-1693293,-16.40%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2002,8347,-280655,-3.30%,-1973948,-19.10%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2003,8080,-266947,-3.20%,-2240895,-21.70%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2004,7828,-252599,-3.10%,-2493493,-24.20%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2005,7508,-319254,-4.10%,-2812747,-27.30%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2006,7537,28846,0.40%,-2783901,-27.00%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2007,7359,-178512,-2.40%,-2962413,-28.70%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2008,7107,-251681,-3.40%,-3214094,-31.10%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2009,6936,-170918,-2.40%,-3385012,-32.80%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2010,6932,-4067,-0.10%,-3389079,-32.80%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2011,6691,-241228,-3.50%,-3630307,-35.20%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2012,6613,-78319,-1.20%,-3708627,-35.90%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2013,6465,-147618,-2.20%,-3856245,-37.40%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2014,6326,-138816,-2.10%,-3995061,-38.70%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2015,6265,-61091,-1.00%,-4056152,-39.30%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2016,6087,-178410,-2.80%,-4234561,-41.00%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2017,5950,-136521,-2.20%,-4371082,-42.40%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2018,5879,-71600,-1.20%,-4442682,-43.00%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2019,5773,-105647,-1.80%,-4548330,-44.10%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2020,5679,-94083,-1.60%,-4642413,-45.00%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2021,5580,-99117,-1.70%,-4741530,-45.90%,,
Finland,Total net emissions with international transport (EEA),CH4 - (CO2 equivalent),2022,5405,-174540,-3.10%,-4916070,-47.60%,,
Finland,Total net emissions with international transport (EEA),CO2,1990,33559,28154120,520.90%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),CO2,1991,19273,-14285855,-42.60%,-14285855,-42.60%,,
Finland,Total net emissions with international transport (EEA),CO2,1992,24726,5452190,28.30%,-8833665,-26.30%,,
Finland,Total net emissions with international transport (EEA),CO2,1993,25600,874493,3.50%,-7959172,-23.70%,,
Finland,Total net emissions with international transport (EEA),CO2,1994,37460,11860190,46.30%,3901018,11.60%,,
Finland,Total net emissions with international transport (EEA),CO2,1995,34972,-2487931,-6.60%,1413087,4.20%,,
Finland,Total net emissions with international transport (EEA),CO2,1996,34752,-220672,-0.60%,1192414,3.60%,,
Finland,Total net emissions with international transport (EEA),CO2,1997,38172,3419975,9.80%,4612389,13.70%,,
Finland,Total net emissions with international transport (EEA),CO2,1998,37256,-915346,-2.40%,3697044,11.00%,,
Finland,Total net emissions with international transport (EEA),CO2,1999,36781,-475702,-1.30%,3221341,9.60%,,
Finland,Total net emissions with international transport (EEA),CO2,2000,35682,-1098768,-3.00%,2122574,6.30%,,
Finland,Total net emissions with international transport (EEA),CO2,2001,40380,4697710,13.20%,6820283,20.30%,,
Finland,Total net emissions with international transport (EEA),CO2,2002,42070,1690083,4.20%,8510366,25.40%,,
Finland,Total net emissions with international transport (EEA),CO2,2003,49306,7236310,17.20%,15746676,46.90%,,
Finland,Total net emissions with international transport (EEA),CO2,2004,43954,-5352146,-10.90%,10394530,31.00%,,
Finland,Total net emissions with international transport (EEA),CO2,2005,31996,-11957304,-27.20%,-1562774,-4.70%,,
Finland,Total net emissions with international transport (EEA),CO2,2006,39743,7746430,24.20%,6183655,18.40%,,
Finland,Total net emissions with international transport (EEA),CO2,2007,47694,7950897,20.00%,14134552,42.10%,,
Finland,Total net emissions with international transport (EEA),CO2,2008,36977,-10716492,-22.50%,3418061,10.20%,,
Finland,Total net emissions with international transport (EEA),CO2,2009,21402,-15575500,-42.10%,-12157439,-36.20%,,
Finland,Total net emissions with international transport (EEA),CO2,2010,41131,19728907,92.20%,7571468,22.60%,,
Finland,Total net emissions with international transport (EEA),CO2,2011,34774,-6356906,-15.50%,1214563,3.60%,,
Finland,Total net emissions with international transport (EEA),CO2,2012,27280,-7494042,-21.60%,-6279480,-18.70%,,
Finland,Total net emissions with international transport (EEA),CO2,2013,34756,7475886,27.40%,1196406,3.60%,,
Finland,Total net emissions with international transport (EEA),CO2,2014,29592,-5163787,-14.90%,-3967381,-11.80%,,
Finland,Total net emissions with international transport (EEA),CO2,2015,31313,1721320,5.80%,-2246061,-6.70%,,
Finland,Total net emissions with international transport (EEA),CO2,2016,38031,6717506,21.50%,4471445,13.30%,,
Finland,Total net emissions with international transport (EEA),CO2,2017,38225,194727,0.50%,4666172,13.90%,,
Finland,Total net emissions with international transport (EEA),CO2,2018,48863,10637312,27.80%,15303484,45.60%,,
Finland,Total net emissions with international transport (EEA),CO2,2019,40234,-8628624,-17.70%,6674860,19.90%,,
Finland,Total net emissions with international transport (EEA),CO2,2020,31613,-8620798,-21.40%,-1945938,-5.80%,,
Finland,Total net emissions with international transport (EEA),CO2,2021,40398,8784257,27.80%,6838319,20.40%,,
Finland,Total net emissions with international transport (EEA),CO2,2022,40942,544149,1.30%,7382469,22.00%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1990,54,-40887410,-99.90%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1991,42,-12658,-23.30%,-12658,-23.30%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1992,27,-14880,-35.70%,-27538,-50.70%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1993,21,-5864,-21.90%,-33403,-61.50%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1994,106,85257,407.90%,51854,95.50%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1995,188,82205,77.40%,134058,246.90%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1996,288,99693,52.90%,233752,430.40%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1997,380,92427,32.10%,326179,600.60%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1998,474,93052,24.50%,419231,772.00%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),1999,563,88995,18.80%,508226,935.80%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2000,723,160686,28.60%,668912,1231.70%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2001,795,71294,9.90%,740206,1363.00%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2002,886,91358,11.50%,831564,1531.20%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2003,981,95460,10.80%,927024,1707.00%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2004,1078,97035,9.90%,1024058,1885.70%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2005,1150,71268,6.60%,1095327,2016.90%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2006,1307,156871,13.60%,1252198,2305.80%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2007,1328,21800,1.70%,1273998,2345.90%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2008,1370,41789,3.10%,1315787,2422.90%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2009,1368,-2281,-0.20%,1313506,2418.70%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2010,1346,-22020,-1.60%,1291487,2378.10%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2011,1329,-16481,-1.20%,1275005,2347.80%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2012,1337,7505,0.60%,1282511,2361.60%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2013,1327,-9574,-0.70%,1272937,2344.00%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2014,1298,-29720,-2.20%,1243216,2289.20%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2015,1217,-80106,-6.20%,1163110,2141.70%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2016,1167,-50074,-4.10%,1113036,2049.50%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2017,1094,-73828,-6.30%,1039208,1913.60%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2018,1041,-52840,-4.80%,986368,1816.30%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2019,995,-45567,-4.40%,940801,1732.40%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2020,932,-63503,-6.40%,877297,1615.40%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2021,867,-65048,-7.00%,812250,1495.70%,,
Finland,Total net emissions with international transport (EEA),Fluorinated gases - (CO2 equivalent),2022,793,-73634,-8.50%,738616,1360.10%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1990,0,-792902,-100.00%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1991,0,13,63.40%,13,63.40%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1992,0,14,40.70%,27,129.90%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1993,0,148,315.40%,175,855.00%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1994,81,80561,41240.50%,80736,394689.30%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1995,149,67972,84.20%,148708,726978.80%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1996,231,81781,55.00%,230489,1126776.80%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1997,327,96544,41.90%,327033,1598746.20%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1998,432,104801,32.00%,431834,2111077.50%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),1999,526,94424,21.90%,526258,2572680.90%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2000,693,166917,31.70%,693175,3388678.00%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2001,764,71277,10.30%,764452,3737126.30%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2002,857,92393,12.10%,856845,4188799.40%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2003,952,94980,11.10%,951824,4653119.50%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2004,1051,99032,10.40%,1050856,5137250.40%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2005,1123,72310,6.90%,1123166,5490747.10%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2006,1274,151024,13.40%,1274190,6229048.40%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2007,1306,31341,2.50%,1305532,6382264.00%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2008,1340,34354,2.60%,1339885,6550206.50%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2009,1337,-2710,-0.20%,1337175,6536956.80%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2010,1321,-16392,-1.20%,1320783,6456824.20%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2011,1302,-18719,-1.40%,1302065,6365316.20%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2012,1310,8366,0.60%,1310430,6406212.80%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2013,1291,-19571,-1.50%,1290859,6310537.10%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2014,1258,-33035,-2.60%,1257825,6149042.70%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2015,1193,-65151,-5.20%,1192674,5830543.40%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2016,1134,-59000,-4.90%,1133673,5542112.10%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2017,1064,-69646,-6.10%,1064027,5201637.60%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2018,1015,-49521,-4.70%,1014507,4959549.70%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2019,969,-45588,-4.50%,968919,4736687.10%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2020,904,-65310,-6.70%,903608,4417408.60%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2021,837,-66529,-7.40%,837080,4092174.20%,,
Finland,Total net emissions with international transport (EEA),HFCs - (CO2 equivalent),2022,763,-73700,-8.80%,763379,3731881.50%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1990,7085,6321280,828.00%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1991,6800,-284710,-4.00%,-284710,-4.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1992,6440,-360422,-5.30%,-645132,-9.10%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1993,6588,148219,2.30%,-496913,-7.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1994,6729,141282,2.10%,-355631,-5.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1995,6781,52191,0.80%,-303440,-4.30%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1996,6871,89433,1.30%,-214007,-3.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1997,6929,58119,0.80%,-155887,-2.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1998,6822,-106564,-1.50%,-262452,-3.70%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),1999,6780,-42405,-0.60%,-304857,-4.30%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2000,6873,92795,1.40%,-212062,-3.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2001,6807,-65986,-1.00%,-278048,-3.90%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2002,6857,50169,0.70%,-227879,-3.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2003,6982,124829,1.80%,-103050,-1.50%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2004,7063,81802,1.20%,-21248,-0.30%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2005,7136,72796,1.00%,51548,0.70%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2006,7000,-136491,-1.90%,-84942,-1.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2007,7070,70558,1.00%,-14385,-0.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2008,7216,145580,2.10%,131195,1.90%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2009,6387,-829265,-11.50%,-698070,-9.90%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2010,6008,-378673,-5.90%,-1076743,-15.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2011,5893,-115057,-1.90%,-1191800,-16.80%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2012,5860,-33214,-0.60%,-1225015,-17.30%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2013,5877,16875,0.30%,-1208140,-17.10%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2014,5911,34106,0.60%,-1174034,-16.60%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2015,5938,27669,0.50%,-1146364,-16.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2016,5909,-29648,-0.50%,-1176013,-16.60%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2017,5919,10737,0.20%,-1165276,-16.40%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2018,5902,-17080,-0.30%,-1182356,-16.70%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2019,6058,155537,2.60%,-1026819,-14.50%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2020,5940,-118355,-2.00%,-1145174,-16.20%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2021,5949,9678,0.20%,-1135496,-16.00%,,
Finland,Total net emissions with international transport (EEA),N2O - (CO2 equivalent),2022,5712,-236937,-4.00%,-1372433,-19.40%,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1990,,-5712246,-100.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1991,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1992,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1993,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1994,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1995,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1996,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1997,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1998,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),1999,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2000,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2001,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2002,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2003,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2004,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2005,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2006,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2007,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2008,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2009,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2010,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2011,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2012,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2013,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2014,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2015,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2016,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2017,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2018,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2019,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2020,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2021,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),NF3 - (CO2 equivalent),2022,,0,0.00%,,,,
Finland,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1990,0,192,0.00%,0,0.00%,,
Finland,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1991,0,29,15.00%,29,15.00%,,
Finland,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1992,0,42,19.00%,71,36.80%,,
Finland,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1993,0,93,35.50%,164,85.40%,,
Finland,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1994,1,455,128.10%,619,322.90%,,
Finland,Total net emissions with international transport (EEA),PFCs - (CO2 equivalent),1995,2,711,87.70%,1330,693.80%,,
