Country,Type,Gas,year,Emissions per capita,Difference in Emissions per capita,% Difference in Emissions per capita,Absolute change since 1990 (per capita),Percentage change since 1990 (per capita)
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,15.69,-0.91,-5.46%,-0.48,-2.97%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,15.7,0.01,0.05%,-0.47,-2.92%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,15.58,-0.12,-0.77%,-0.59,-3.66%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,16.46,0.88,5.64%,0.29,1.77%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,15.23,-1.23,-7.48%,-0.94,-5.84%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,14.37,-0.85,-5.61%,-1.8,-11.13%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,15.97,1.59,11.08%,-0.21,-1.28%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,15.11,-0.86,-5.39%,-1.07,-6.60%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,14.01,-1.1,-7.29%,-2.17,-13.40%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,12.99,-1.01,-7.23%,-3.18,-19.66%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,12.91,-0.09,-0.67%,-3.27,-20.20%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,11.79,-1.11,-8.61%,-4.38,-27.07%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,10.72,-1.07,-9.11%,-5.45,-33.72%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,10.98,0.26,2.47%,-5.19,-32.08%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,10.32,-0.66,-6.03%,-5.85,-36.18%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,9.6,-0.73,-7.04%,-6.58,-40.67%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,10.02,0.42,4.38%,-6.16,-38.07%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,9.45,-0.56,-5.60%,-6.72,-41.54%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,9.75,0.29,3.10%,-6.43,-39.73%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,8.97,-0.78,-7.98%,-7.2,-44.54%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,7.97,-1,-11.12%,-8.2,-50.70%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,7.93,-0.05,-0.59%,-8.25,-51.00%
Denmark,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,7.7,-0.23,-2.90%,-8.48,-52.42%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,22.77,15.07,195.84%,0,0.00%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,21.2,-1.56,-6.87%,-1.56,-6.87%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,15.22,-5.98,-28.21%,-7.55,-33.14%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,11.44,-3.78,-24.86%,-11.33,-49.76%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,12.22,0.79,6.88%,-10.54,-46.30%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,10.74,-1.49,-12.16%,-12.03,-52.83%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,11.36,0.62,5.76%,-11.41,-50.12%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,11.22,-0.13,-1.18%,-11.54,-50.70%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,10.44,-0.78,-6.98%,-12.33,-54.14%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,10.39,-0.05,-0.50%,-12.38,-54.37%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,10.29,-0.1,-0.97%,-12.48,-54.81%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,11.1,0.81,7.86%,-11.67,-51.26%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,11.56,0.47,4.21%,-11.2,-49.21%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,13.61,2.05,17.74%,-9.15,-40.20%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,13.45,-0.17,-1.24%,-9.32,-40.94%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,12.35,-1.1,-8.19%,-10.42,-45.77%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,11.35,-0.99,-8.04%,-11.41,-50.13%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,13.16,1.8,15.89%,-9.61,-42.21%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,11.5,-1.65,-12.56%,-11.26,-49.47%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,8.24,-3.26,-28.36%,-14.52,-63.80%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,12.94,4.7,57.02%,-9.82,-43.16%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,14.02,1.08,8.37%,-8.74,-38.40%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,15,0.98,6.99%,-7.76,-34.09%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,17.34,2.34,15.58%,-5.42,-23.83%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,17.12,-0.22,-1.27%,-5.64,-24.79%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,15.11,-2.01,-11.73%,-7.65,-33.62%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,17.05,1.94,12.84%,-5.71,-25.09%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,18.01,0.96,5.62%,-4.75,-20.89%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,18.6,0.59,3.28%,-4.16,-18.29%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,13.99,-4.61,-24.77%,-8.77,-38.53%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,10.21,-3.78,-27.04%,-12.56,-55.16%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,10.87,0.66,6.49%,-11.89,-52.24%
Estonia,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,11.42,0.55,5.08%,-11.34,-49.82%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,10.23,-1.19,-10.44%,0,0.00%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,7.26,-2.97,-29.08%,-2.97,-29.08%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,8.21,0.95,13.13%,-2.02,-19.77%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,8.37,0.16,2.01%,-1.86,-18.16%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,10.7,2.33,27.82%,0.47,4.61%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,10.15,-0.55,-5.14%,-0.08,-0.77%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,10.1,-0.05,-0.54%,-0.13,-1.30%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,10.74,0.64,6.34%,0.51,4.95%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,10.47,-0.27,-2.50%,0.24,2.33%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,10.32,-0.15,-1.47%,0.08,0.82%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,10.07,-0.25,-2.43%,-0.17,-1.63%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,10.91,0.85,8.41%,0.68,6.64%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,11.18,0.27,2.49%,0.95,9.30%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,12.54,1.35,12.09%,2.3,22.52%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,11.46,-1.07,-8.57%,1.23,12.02%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,9.11,-2.35,-20.52%,-1.12,-10.96%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,10.56,1.45,15.87%,0.32,3.16%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,12,1.44,13.66%,1.77,17.26%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,9.91,-2.08,-17.38%,-0.32,-3.12%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,6.76,-3.15,-31.80%,-3.47,-33.93%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,10.33,3.57,52.84%,0.1,0.99%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,9.04,-1.3,-12.55%,-1.2,-11.69%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,7.59,-1.45,-16.01%,-2.64,-25.82%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,8.9,1.31,17.31%,-1.33,-12.98%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,7.9,-1.01,-11.31%,-2.34,-22.82%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,8.16,0.27,3.39%,-2.07,-20.21%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,9.32,1.15,14.11%,-0.92,-8.95%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,9.29,-0.02,-0.24%,-0.94,-9.17%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,11.18,1.89,20.34%,0.95,9.31%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,9.61,-1.57,-14.08%,-0.62,-6.08%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,7.99,-1.62,-16.89%,-2.24,-21.94%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,9.53,1.54,19.29%,-0.7,-6.88%
Finland,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,9.51,-0.02,-0.16%,-0.72,-7.03%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,9.26,-0.25,-2.64%,0,0.00%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,9.65,0.39,4.21%,0.39,4.21%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,9.47,-0.18,-1.89%,0.21,2.24%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,8.99,-0.48,-5.04%,-0.27,-2.92%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,8.85,-0.14,-1.58%,-0.41,-4.45%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,8.87,0.02,0.24%,-0.39,-4.22%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,9.04,0.17,1.86%,-0.23,-2.44%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,8.87,-0.16,-1.82%,-0.39,-4.21%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,9.05,0.17,1.97%,-0.22,-2.33%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,8.86,-0.18,-2.04%,-0.4,-4.31%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,8.99,0.13,1.48%,-0.27,-2.90%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,8.75,-0.24,-2.66%,-0.51,-5.48%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,8.43,-0.33,-3.72%,-0.83,-9.00%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,8.38,-0.05,-0.62%,-0.89,-9.56%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,8.32,-0.06,-0.69%,-0.94,-10.19%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,8.29,-0.03,-0.39%,-0.98,-10.54%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,8.09,-0.19,-2.35%,-1.17,-12.64%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,7.97,-0.13,-1.55%,-1.3,-13.99%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,7.84,-0.13,-1.59%,-1.42,-15.36%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,7.63,-0.21,-2.66%,-1.63,-17.61%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,7.62,-0.01,-0.14%,-1.64,-17.72%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,7.21,-0.41,-5.43%,-2.06,-22.19%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,7.13,-0.08,-1.08%,-2.13,-23.03%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,7,-0.13,-1.82%,-2.26,-24.43%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,6.53,-0.46,-6.63%,-2.73,-29.44%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,6.62,0.09,1.32%,-2.64,-28.51%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,6.71,0.09,1.42%,-2.55,-27.50%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,6.91,0.19,2.83%,-2.36,-25.44%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,6.54,-0.36,-5.25%,-2.72,-29.35%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,6.46,-0.08,-1.29%,-2.8,-30.26%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,5.62,-0.84,-13.03%,-3.64,-39.35%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,5.98,0.36,6.46%,-3.28,-35.43%
France,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,5.8,-0.18,-2.93%,-3.46,-37.33%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,16.4,10.6,182.54%,0,0.00%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,14.96,-1.44,-8.77%,-1.44,-8.77%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,14.16,-0.8,-5.36%,-2.24,-13.66%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,13.99,-0.17,-1.20%,-2.41,-14.70%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,13.79,-0.2,-1.44%,-2.61,-15.93%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,13.75,-0.04,-0.29%,-2.65,-16.18%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,13.89,0.14,1.01%,-2.51,-15.33%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,13.45,-0.44,-3.14%,-2.95,-17.98%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,13.16,-0.29,-2.17%,-3.24,-19.76%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,12.71,-0.45,-3.40%,-3.69,-22.49%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,12.92,0.21,1.66%,-3.48,-21.20%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,12.96,0.04,0.30%,-3.44,-20.97%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,13.08,0.12,0.91%,-3.32,-20.24%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,12.93,-0.15,-1.13%,-3.47,-21.14%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,12.64,-0.3,-2.29%,-3.76,-22.94%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,12.45,-0.18,-1.45%,-3.95,-24.06%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,12.57,0.12,0.93%,-3.83,-23.36%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,12.17,-0.4,-3.17%,-4.23,-25.79%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,12.14,-0.03,-0.22%,-4.26,-25.95%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,11.26,-0.88,-7.27%,-5.14,-31.33%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,11.74,0.47,4.21%,-4.66,-28.44%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,11.55,-0.18,-1.56%,-4.85,-29.55%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,11.58,0.03,0.25%,-4.82,-29.38%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,11.78,0.2,1.71%,-4.62,-28.17%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,11.32,-0.46,-3.94%,-5.08,-31.00%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,11.3,-0.01,-0.12%,-5.1,-31.08%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,11.17,-0.13,-1.15%,-5.23,-31.88%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,11.01,-0.17,-1.48%,-5.39,-32.89%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,10.7,-0.3,-2.74%,-5.7,-34.73%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,9.96,-0.74,-6.91%,-6.44,-39.24%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,9.08,-0.89,-8.89%,-7.32,-44.64%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,9.43,0.35,3.85%,-6.97,-42.52%
Germany,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,9.38,-0.05,-0.53%,-7.02,-42.82%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,11.04,1.66,17.70%,0,0.00%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,10.8,-0.24,-2.19%,-0.24,-2.19%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,10.94,0.14,1.32%,-0.1,-0.89%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,10.94,0,-0.01%,-0.1,-0.90%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,11.26,0.32,2.97%,0.23,2.04%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,11.45,0.19,1.67%,0.41,3.74%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,11.6,0.15,1.29%,0.56,5.08%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,12.02,0.42,3.61%,0.98,8.87%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,12.58,0.57,4.71%,1.55,14.00%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,12.4,-0.19,-1.48%,1.36,12.32%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,12.82,0.42,3.40%,1.78,16.14%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,12.79,-0.03,-0.24%,1.75,15.86%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,12.6,-0.19,-1.48%,1.56,14.15%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,13.03,0.43,3.43%,1.99,18.07%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,13.07,0.04,0.33%,2.04,18.46%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,13.22,0.14,1.10%,2.18,19.76%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,12.94,-0.28,-2.09%,1.9,17.25%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,13.3,0.36,2.78%,2.26,20.52%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,12.84,-0.46,-3.45%,1.8,16.35%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,12,-0.85,-6.59%,0.96,8.69%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,11.46,-0.54,-4.50%,0.42,3.80%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,11.22,-0.24,-2.07%,0.18,1.65%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,10.81,-0.41,-3.69%,-0.23,-2.10%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2013,10.11,-0.7,-6.43%,-0.93,-8.40%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2014,9.95,-0.16,-1.62%,-1.09,-9.88%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2015,9.3,-0.65,-6.51%,-1.74,-15.75%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2016,9.02,-0.28,-3.05%,-2.02,-18.32%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2017,9.57,0.56,6.17%,-1.47,-13.28%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2018,9.27,-0.3,-3.14%,-1.77,-16.01%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2019,8.73,-0.54,-5.83%,-2.31,-20.90%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2020,7.24,-1.49,-17.05%,-3.8,-34.39%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2021,7.72,0.48,6.63%,-3.32,-30.04%
Greece,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2022,7.99,0.27,3.52%,-3.04,-27.57%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1990,8.89,0.89,11.18%,0,0.00%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1991,8.36,-0.53,-5.93%,-0.53,-5.93%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1992,7.35,-1.01,-12.11%,-1.54,-17.32%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1993,7.14,-0.21,-2.82%,-1.75,-19.65%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1994,7.06,-0.08,-1.12%,-1.83,-20.55%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1995,6.96,-0.1,-1.47%,-1.93,-21.72%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1996,7.55,0.59,8.47%,-1.34,-15.08%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1997,7.38,-0.17,-2.26%,-1.51,-17.00%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1998,7.24,-0.13,-1.81%,-1.64,-18.50%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),1999,7.52,0.27,3.77%,-1.37,-15.43%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2000,7.35,-0.16,-2.19%,-1.54,-17.28%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2001,7.38,0.03,0.38%,-1.51,-16.97%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2002,7.31,-0.07,-0.99%,-1.58,-17.79%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2003,7.38,0.07,1.02%,-1.51,-16.96%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2004,7.39,0.01,0.12%,-1.5,-16.86%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2005,7.15,-0.24,-3.30%,-1.74,-19.60%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2006,7.2,0.05,0.72%,-1.69,-19.02%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2007,7.01,-0.19,-2.59%,-1.88,-21.12%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2008,6.65,-0.36,-5.17%,-2.24,-25.20%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2009,6.19,-0.46,-6.90%,-2.7,-30.36%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2010,6.24,0.05,0.86%,-2.65,-29.76%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2011,6.16,-0.09,-1.40%,-2.73,-30.74%
Hungary,Total net emissions with international transport (EEA),All greenhouse gases - (CO2 equivalent),2012,5.77,-0.38,-6.20%,-3.11,-35.04%
